Player,Position,Team(s),Date_of_Birth,Height,Weight,College,Years_Played
Albert Okwuegbunam,TE,LV,4/25/1998,77,258,Missouri,6
Brock Bowers,TE,LV,12/13/2002,75,235,Georgia,2
Carter Runyon,TE,LV,7/23/2001,76,246,Towson; Shenandoah University,0
Ian Thomas,TE,LV,6/6/1996,75,253,Indiana; Nassau CC,8
Justin Shorter,TE,LV,4/17/2000,76,227,Florida; Penn State,3
Michael Mayer,TE,LV,7/6/2001,76,256,Notre Dame,3
Alex Bachman,WR,LV,5/29/1996,72,190,Wake Forest,2
Amari Cooper,WR,LV,6/17/1994,73,210,Alabama,10
Collin Johnson,WR,LV,9/23/1997,78,220,Texas,4
DJ Turner,WR,LV,1/18/1997,69,206,Pittsburgh; Maryland,4
Dont'e Thornton Jr.,WR,LV,11/30/2002,77,205,Tennessee; Oregon,0
Jack Bech,WR,LV,12/18/2002,73,214,TCU; LSU,0
Justin Shorter,WR,LV,4/17/2000,76,227,Florida; Penn State,3
Ketron Jackson Jr.,WR,LV,,,,,
Marquez Callaway,WR,LV,3/27/1998,74,204,Tennessee,4
Phillip Dorsett,WR,LV,1/5/1993,70,192,Miami,9
Shedrick Jackson,WR,LV,10/20/1999,73,198,Auburn,1
Tre Tucker,WR,LV,3/8/2001,68,182,Cincinnati,3
Cam Miller,QB,"LV, MIA",6/18/2001,72,211,North Dakota State,0
Leroy Watson IV,OL,"LV, MIN",6/10/1998,77,311,Texas-San Antonio,3
Amari Gainer,LB,"LV, NE",6/22/2000,75,232,North Carolina; Florida State,2
Layden Robinson,OL,"LV, NE",5/3/2001,75,311,Texas A&M,2
McClendon Curtis,OL,"LV, NYG",9/16/1999,78,335,Tennessee-Chattanooga,2
JT Woods,DB,"LV, NYJ",6/10/2000,74,195,Baylor,3
Jamin Davis,LB,"LV, NYJ",12/12/1998,76,234,Kentucky,5
Jon Rhattigan,LB,"LV, PIT",2/2/1999,72,236,Army,5
Tyler Lockett,WR,"LV, TEN",9/28/1992,70,182,Kansas State,11
Artie Burns,DB,MIA,5/1/1995,72,187,Miami,10
Ashtyn Davis,DB,MIA,10/10/1996,73,205,California,6
BJ Adams,DB,MIA,,,,,
Cam Smith,DB,MIA,12/21/2000,73,186,South Carolina,3
Cameron Dantzler,DB,MIA,9/3/1998,74,190,Mississippi State,4
Cornell Armstrong,DB,MIA,9/22/1995,72,185,Southern Mississippi,5
Dante Trader Jr.,DB,MIA,2/13/2003,71,202,Maryland,0
Elijah Campbell,DB,MIA,8/24/1995,71,200,Northern Iowa,6
Ethan Bonner,DB,MIA,10/23/1999,73,190,Stanford,2
Ethan Robinson,DB,MIA,4/30/2003,72,190,Minnesota; Bucknell,0
Ifeatu Melifonwu,DB,MIA,5/2/1999,75,210,Syracuse,5
Isaiah Johnson,DB,MIA,3/29/2000,75,205,Syracuse; Dartmouth,1
Jack Jones,DB,MIA,12/20/1997,71,175,Arizona State,4
Jason Maitre,DB,MIA,2/1/2000,70,188,Wisconsin; Boston College,1
Jason Marshall Jr.,DB,MIA,9/6/2002,72,204,Florida,0
Jordan Colbert,DB,MIA,3/18/2000,74,218,Rhode Island,1
Julius Brents,DB,MIA,1/18/2000,75,198,Kansas State,3
Kader Kohou,DB,MIA,11/28/1998,70,197,East Texas A&M,4
Kendall Sheffield,DB,MIA,5/30/1996,70,212,Ohio State; Blinn College; Alabama,5
Minkah Fitzpatrick,DB,MIA,11/17/1996,73,207,Alabama,8
Rasul Douglas,DB,MIA,8/29/1994,74,209,West Virginia; Nassau CC,9
Storm Duck,DB,MIA,12/15/2000,72,195,Louisville,2
Alex Huntley,DL,MIA,10/8/2001,76,298,South Carolina,0
Benito Jones,DL,MIA,11/27/1997,73,335,Mississippi,5
Derrick McLendon,DL,MIA,9/29/2000,76,250,Colorado; Florida State,1
Jordan Phillips,DL,MIA,6/30/2004,75,305,Maryland; Tennessee,0
Kenneth Grant,DL,MIA,10/27/2003,75,335,Michigan,0
Matthew Butler,DL,MIA,6/10/1999,75,305,Tennessee,3
Zach Sieler,DL,MIA,9/7/1995,78,300,Ferris State,8
Zeek Biggers,DL,MIA,10/4/2003,78,319,Georgia Tech,0
Jason Sanders,K,MIA,11/16/1995,71,195,New Mexico,8
Riley Patterson,K,MIA,9/7/1999,72,195,Memphis,5
Bradley Chubb,LB,MIA,6/24/1996,76,268,N.C. State,8
Caleb Johnson,LB,MIA,7/28/1998,74,220,Houston Christian University,5
Cameron Goode,LB,MIA,4/15/1998,75,245,California,3
Chop Robinson,LB,MIA,1/2/2003,75,254,Penn State; Maryland,2
Dequan Jackson,LB,MIA,10/7/1999,73,255,Colorado State,1
Grayson Murphy,LB,MIA,10/13/2000,74,260,UCLA; North Texas,0
Jordyn Brooks,LB,MIA,10/21/1997,72,240,Texas Tech,6
K.J. Britt,LB,MIA,6/4/1999,72,240,Auburn,5
Quinton Bell,LB,MIA,5/9/1996,76,258,Prairie View A&M,4
Tyrel Dodson,LB,MIA,6/25/1998,72,237,Texas A&M,6
Willie Gay Jr.,LB,MIA,2/15/1998,73,246,Mississippi State,6
Joe Cardona,LS,MIA,4/16/1992,74,241,Navy,11
Aaron Brewer,OL,MIA,10/28/1997,73,295,Texas State-San Marcos,6
Addison West,OL,MIA,,,,,
Andrew Meyer,OL,MIA,1/14/2000,75,295,Texas-El Paso,2
Austin Jackson,OL,MIA,8/11/1999,77,310,USC,6
Braeden Daniels,OL,MIA,8/22/2000,76,305,Utah,2
Daniel Brunskill,OL,MIA,1/27/1994,77,300,San Diego State,7
Germain Ifedi,OL,MIA,6/2/1994,77,325,Texas A&M,10
Jackson Carman,OL,MIA,1/22/2000,77,322,Clemson,4
Jalen McKenzie,OL,MIA,7/10/1999,77,315,USC,1
James Daniels,OL,MIA,9/13/1997,76,320,Iowa,8
Jonah Savaiinaea,OL,MIA,1/13/2004,77,326,Arizona,0
Josh Priebe,OL,MIA,7/30/2001,77,305,Michigan; Northwestern,0
Kendall Lamm,OL,MIA,6/5/1992,77,305,Appalachian State,10
Kion Smith,OL,MIA,10/7/1998,77,300,Fayetteville State University,3
Larry Borom,OL,MIA,3/30/1999,77,325,Missouri,5
Liam Eichenberg,OL,MIA,1/19/1998,78,302,Notre Dame,5
Mason Brooks,OL,MIA,10/11/1999,78,315,Mississippi; Western Kentucky,1
Obinna Eze,OL,MIA,6/12/1998,78,325,TCU; Memphis,1
Patrick Paul,OL,MIA,11/1/2001,79,326,Houston,2
Terron Armstead,OL,MIA,7/23/1991,77,304,University of Arkansas at Pine Bluff,12
Yodny Cajuste,OL,MIA,2/21/1996,77,310,West Virginia,5
Jake Bailey,P,MIA,6/18/1997,74,212,Stanford,7
Quinn Ewers,QB,MIA,3/15/2003,74,209,Texas; Ohio State,0
Tua Tagovailoa,QB,MIA,3/2/1998,73,225,Alabama,6
Zach Wilson,QB,MIA,8/3/1999,74,214,BYU,5
Aaron Shampklin,RB,MIA,10/18/1999,70,195,Harvard,1
Alec Ingold,RB,MIA,7/9/1996,73,232,Wisconsin,7
Alexander Mattison,RB,MIA,6/19/1998,71,220,Boise State,7
De'Von Achane,RB,MIA,10/13/2001,69,191,Texas A&M,3
JaMycal Hasty,RB,MIA,9/12/1996,68,205,Baylor,6
Jaylen Wright,RB,MIA,4/1/2003,70,208,Tennessee,2
Jeff Wilson,RB,MIA,11/16/1995,72,205,North Texas,8
Mike Boone,RB,MIA,7/30/1995,70,206,Cincinnati,7
Ollie Gordon II,RB,MIA,1/15/2004,74,225,Oklahoma State,0
Chris Myarick,TE,MIA,10/6/1995,77,261,Temple,4
Darren Waller,TE,MIA,9/13/1992,78,238,Georgia Tech,8
Greg Dulcich,TE,MIA,3/26/2000,76,245,UCLA,4
Jalin Conyers,TE,MIA,7/25/2001,76,265,Texas Tech; Arizona State; Oklahoma,0
Julian Hill,TE,MIA,7/9/2000,76,251,Campbell University,3
A.J. Henning,WR,MIA,9/9/2001,70,192,Northwestern; Michigan,0
Dee Eskridge,WR,MIA,3/23/1997,69,190,Western Michigan,5
Jaylen Waddle,WR,MIA,11/25/1998,70,185,Alabama,5
Malik Washington,WR,MIA,10/20/2000,68,195,Virginia; Northwestern,2
Nick Westbrook-Ikhine,WR,MIA,3/21/1997,74,211,Indiana,6
Tahj Washington,WR,MIA,5/16/2001,70,175,USC; Memphis,2
Theo Wease Jr.,WR,MIA,6/25/2001,74,210,Missouri; Oklahoma,0
Tyreek Hill,WR,MIA,3/1/1994,70,191,West Alabama; Garden City CC; Oklahoma State,10
John Saunders Jr.,DB,"MIA, NE",10/24/2001,74,210,Mississippi; Miami (Ohio),0
Cedrick Wilson Jr.,WR,"MIA, NO",11/20/1995,74,197,Boise State; Coffeyville CC,8
Tanner Conner,TE,"MIA, NYG",3/20/1998,75,237,Idaho State,3
Jaelan Phillips,LB,"MIA, PHI",5/28/1999,77,263,Miami,5
Jack Henderson,DB,"MIA, PIT, TB",12/26/2001,74,215,Minnesota; Southeastern Louisiana,0
Clarence Lewis,DB,"MIA, TEN",12/8/2000,72,201,Syracuse; Notre Dame,0
Donovan Edwards,RB,"MIA, WAS",2/25/2003,73,212,Michigan,0
Byron Murphy,DB,MIN,1/18/1998,71,190,Washington,7
Dwight McGlothern,DB,MIN,2/6/2002,74,185,Arkansas,2
Fabian Moreau,DB,MIN,4/9/1994,72,204,UCLA,9
Harrison Smith,DB,MIN,2/2/1989,74,211,Notre Dame,14
Isaiah Rodgers,DB,MIN,1/7/1998,70,180,UMass Amherst,5
Jay Ward,DB,MIN,7/13/2000,73,188,LSU,3
Jeff Okudah,DB,MIN,2/2/1999,73,205,Ohio State,6
Josh Metellus,DB,MIN,1/21/1998,71,207,Michigan,6
Mishael Powell,DB,MIN,,,,,
Tavierre Thomas,DB,MIN,3/11/1996,70,212,Ferris State,8
Theo Jackson,DB,MIN,10/2/1998,73,205,Tennessee,4
Zemaiah Vaughn,DB,MIN,4/2/2002,75,187,Utah,0
Alex Williams,DL,MIN,1/20/2000,79,291,Middle Tennessee State; Vanderbilt; Ohio State,0
Elijah Williams,DL,MIN,9/9/2002,75,298,Morgan State,0
Jalen Redmond,DL,MIN,3/12/1999,75,305,Oklahoma,2
Javon Hargrave,DL,MIN,2/7/1993,74,307,South Carolina State,10
Jonathan Allen,DL,MIN,1/16/1995,75,300,Alabama,9
Jonathan Harris,DL,MIN,8/4/1996,77,295,Lindenwood,5
Levi Drake Rodriguez,DL,MIN,8/4/2000,74,307,Texas A&M-Commerce,2
Taki Taimani,DL,MIN,10/6/1999,73,309,Oregon; Washington,2
Travis Bell,DL,MIN,10/27/1998,73,305,Kennesaw State,2
Tyler Batty,DL,MIN,5/2/1999,77,271,BYU,0
Tyrion Ingram-Dawkins,DL,MIN,6/26/2003,77,290,Georgia,0
Will Reichard,K,MIN,1/9/2001,73,190,Alabama,2
Andrew Van Ginkel,LB,MIN,7/1/1995,76,242,Wisconsin; Iowa Western CC; South Dakota,7
Blake Cashman,LB,MIN,5/10/1996,73,235,Minnesota,7
Bo Richter,LB,MIN,8/13/2000,73,248,Air Force,2
Cam Gill,LB,MIN,12/14/1997,75,240,Wagner,5
Chaz Chambliss,LB,MIN,10/25/2002,73,244,Georgia,0
Dallas Turner,LB,MIN,2/2/2003,75,247,Alabama,2
Eric Wilson,LB,MIN,9/26/1994,73,230,Cincinnati; Northwestern,9
Gabriel Murphy,LB,MIN,10/13/2000,74,247,UCLA; North Texas,2
Ivan Pace Jr.,LB,MIN,12/16/2000,70,236,Cincinnati; Miami (Ohio),3
Jonathan Greenard,LB,MIN,5/25/1997,75,259,Florida; Louisville,6
Sione Takitaki,LB,MIN,6/8/1995,73,245,BYU,7
Tyler Batty,LB,MIN,5/2/1999,77,271,BYU,0
Andrew DePaola,LS,MIN,7/28/1987,73,227,Rutgers,11
Blake Brandel,OL,MIN,1/23/1997,79,315,Oregon State,5
Brian O'Neill,OL,MIN,9/15/1995,79,310,Pittsburgh,8
Christian Darrisaw,OL,MIN,6/2/1999,77,315,Virginia Tech,5
Donovan Jackson,OL,MIN,12/4/2002,76,324,Ohio State,0
Henry Byrd,OL,MIN,7/1/1999,77,310,Princeton,1
Joe Huber,OL,MIN,5/2/2002,77,310,Wisconsin,0
Justin Skule,OL,MIN,11/23/1996,78,315,Vanderbilt,6
Matt Nelson,OL,MIN,12/19/1995,79,315,Iowa,5
Max Pircher,OL,MIN,9/7/1999,79,325,,1
Michael Gonzalez,OL,MIN,,,,,
Michael Jurgens,OL,MIN,1/1/2000,76,311,Wake Forest,2
Ryan Kelly,OL,MIN,5/30/1993,76,307,Alabama,10
Vershon Lee,OL,MIN,12/7/2001,76,310,South Carolina,0
Walter Rouse,OL,MIN,3/9/2001,78,330,Oklahoma; Stanford,2
Will Fries,OL,MIN,4/4/1998,78,321,Penn State,5
Zack Bailey,OL,MIN,11/8/1995,77,300,South Carolina,3
Zeke Correll,OL,MIN,11/10/2000,75,307,N.C. State,0
Oscar Chapman,P,MIN,,,,,
Ryan Wright,P,MIN,6/1/2000,75,245,Tulane,4
Carson Wentz,QB,MIN,12/30/1992,77,237,North Dakota State,10
J.J. McCarthy,QB,MIN,1/20/2003,75,219,Michigan,2
Max Brosmer,QB,MIN,3/28/2001,74,217,Minnesota; New Hampshire,0
Aaron Jones,RB,MIN,12/2/1994,69,208,Texas-El Paso,9
C.J. Ham,RB,MIN,7/22/1993,71,250,Augustana (SD),9
Jordan Mason,RB,MIN,5/24/1999,71,230,Georgia Tech,4
Tre Stewart,RB,MIN,,,,,
Ty Chandler,RB,MIN,5/12/1998,71,204,North Carolina,4
Xazavian Valladay,RB,MIN,7/3/1998,72,198,Arizona State; Wyoming,1
Zavier Scott,RB,MIN,7/17/1999,73,221,Maine,1
Ben Yurosek,TE,MIN,3/17/2002,76,251,Georgia; Stanford,0
Bryson Nesbit,TE,MIN,9/25/2002,77,238,North Carolina,0
Gavin Bartholomew,TE,MIN,4/30/2003,77,246,Pittsburgh,0
Josh Oliver,TE,MIN,3/21/1997,77,264,San Jose State,7
T.J. Hockenson,TE,MIN,7/3/1997,77,248,Iowa,7
Dontae Fleming,WR,MIN,11/28/2001,74,180,Tulane,0
Jalen Nailor,WR,MIN,3/2/1999,71,199,Michigan State,4
Jeshaun Jones,WR,MIN,12/22/1999,73,188,Maryland,1
Jordan Addison,WR,MIN,1/27/2002,71,175,USC; Pittsburgh,3
Justin Jefferson,WR,MIN,6/16/1999,73,195,LSU,6
Lucky Jackson,WR,MIN,7/17/1997,72,186,Western Kentucky,1
Myles Price,WR,MIN,12/16/2001,69,183,Indiana; Texas Tech,0
Robert Lewis,WR,MIN,,,,,
Rondale Moore,WR,MIN,6/9/2000,67,180,Purdue,5
Tai Felton,WR,MIN,3/15/2003,73,186,Maryland,0
Cam Akers,RB,"MIN, NO, SEA",6/22/1999,70,217,Florida State,5
Kobe King,LB,"MIN, NYJ",1/28/2003,73,250,Penn State,0
Adam Thielen,WR,"MIN, PIT",8/22/1990,74,200,Minnesota State,12
Josh Ross,LB,"MIN, SEA",10/31/1999,72,229,Michigan,3
Tyrek Funderburk,DB,"MIN, TB",11/28/2000,72,185,Appalachian State; Richmond,2
Alex Austin,DB,NE,5/22/2001,73,191,Oregon State,3
Brandon Crossley,DB,NE,1/17/2001,72,185,SMU; Colorado State,0
Brenden Schooler,DB,NE,5/30/1997,73,210,Texas; Arizona; Oregon,4
Carlton Davis III,DB,NE,12/31/1996,73,206,Auburn,7
Charles Woods,DB,NE,6/17/2000,71,185,SMU; West Virginia; Illinois State,2
Christian Gonzalez,DB,NE,6/28/2002,73,205,Oregon,3
Craig Woodson,DB,NE,2/20/2001,72,200,California,0
DJ James,DB,NE,3/5/2001,72,184,Auburn; Oregon,1
Dell Pettus,DB,NE,6/2/2001,71,200,Troy,2
Jaylinn Hawkins,DB,NE,8/27/1997,73,208,California,6
Jordan Polk,DB,NE,,,,,
Kobee Minor,DB,NE,7/8/2002,71,188,Memphis; Indiana; Texas Tech,0
Marcellas Dial Jr.,DB,NE,12/6/2000,72,190,South Carolina; Georgia Military,2
Marcus Jones,DB,NE,10/22/1998,68,188,Houston; Troy,4
Miles Battle,DB,NE,1/4/2000,75,197,Utah; Mississippi,1
R.J. Moten,DB,NE,,,,,
Christian Barmore,DL,NE,7/28/1999,77,315,Alabama,5
Cory Durden,DL,NE,1/26/1999,76,305,N.C. State; Florida State,1
Eric Gregory,DL,NE,9/13/2000,75,319,Arkansas,0
Fabien Lovett Sr.,DL,NE,12/5/1999,75,316,Florida State; Mississippi State,1
Isaiah Iton,DL,NE,8/23/2001,74,277,Rutgers; Hutchinson CC,1
Jahvaree Ritzie,DL,NE,,,,,
Jaquelin Roy,DL,NE,10/22/2000,75,305,LSU,3
Jeremiah Pharms,DL,NE,10/16/1996,75,300,Friends U.,3
Jeremiah Pharms Jr.,DL,NE,10/16/1996,75,300,Friends U.,3
Joshua Farmer,DL,NE,1/17/2003,75,312,Florida State,0
Khyiris Tonga,DL,NE,7/7/1996,74,335,BYU,5
Milton Williams,DL,NE,4/6/1999,75,290,Louisiana Tech,5
Philip Blidi,DL,NE,,,,,
Andy Borregales,K,NE,1/2/2003,71,202,Miami,0
Anfernee Jennings,LB,NE,5/1/1997,75,255,Alabama,6
Bradyn Swinson,LB,NE,7/4/2002,76,255,LSU; Oregon,0
Christian Elliss,LB,NE,1/2/1999,74,231,Idaho,4
Darius Harris,LB,NE,1/17/1996,74,245,Middle Tennessee State,5
Elijah Ponder,LB,NE,8/24/2002,75,261,Cal Poly (San Luis Obispo),0
Harold Landry III,LB,NE,6/5/1996,74,252,Boston College,8
Jack Gibbens,LB,NE,11/24/1998,75,242,Minnesota; Abilene Christian,3
Jahlani Tavai,LB,NE,9/28/1996,74,255,Hawaii,7
K'Lavon Chaisson,LB,NE,7/25/1999,75,255,LSU,6
Keion White,LB,NE,1/20/1999,77,285,Georgia Tech; Old Dominion,3
Marte Mapu,LB,NE,11/8/1999,75,230,Sacramento State,3
Robert Spillane,LB,NE,12/14/1995,73,229,Western Michigan,7
Julian Ashby,LS,NE,7/8/2002,73,231,Vanderbilt; Furman,0
Alec Lindstrom,OL,NE,7/7/1997,75,300,Boston College,1
Ben Brown,OL,NE,5/19/1998,77,312,Mississippi,3
Brenden Jaimes,OL,NE,5/28/1999,77,300,Nebraska,5
Caedan Wallace,OL,NE,4/18/2000,77,314,Penn State; West Virginia,2
Garrett Bradbury,OL,NE,6/20/1995,75,300,N.C. State,7
Jared Wilson,OL,NE,6/5/2003,75,310,Georgia,0
Marcus Bryant,OL,NE,6/22/2002,79,320,Missouri; SMU,0
Mehki Butler,OL,NE,4/3/2001,75,310,Arkansas State; Iowa Western CC,0
Mike Onwenu,OL,NE,12/10/1997,75,350,Michigan,6
Morgan Moses,OL,NE,3/3/1991,78,320,Virginia,12
Tyrese Robinson,OL,NE,8/21/1999,75,317,Oklahoma,1
Vederian Lowe,OL,NE,4/17/1999,77,315,Illinois,4
Wes Schweitzer,OL,NE,9/11/1993,76,300,San Jose State,9
Will Campbell,OL,NE,1/6/2004,78,319,LSU,0
Yasir Durant,OL,NE,5/21/1998,78,330,Missouri; Arizona Western,3
Bryce Baringer,P,NE,4/26/1999,74,215,Michigan State; Illinois,3
Ben Wooldridge,QB,NE,,,,,
Drake Maye,QB,NE,8/30/2002,76,225,North Carolina,2
Joshua Dobbs,QB,NE,1/26/1995,75,220,Tennessee,9
Tommy DeVito,QB,NE,8/7/1998,74,210,Illinois; Syracuse,3
Antonio Gibson,RB,NE,6/23/1998,72,228,Memphis; East Central JC,6
Brock Lampe,RB,NE,3/31/2003,73,249,Northern Illinois,0
Deneric Prince,RB,NE,4/11/2000,72,216,Tulsa; Texas A&M,1
Jack Westover,RB,NE,6/9/1999,74,245,Washington,1
Lan Larison,RB,NE,10/11/2001,71,209,UC Davis,0
Micah Bernard,RB,NE,,,,,
Rhamondre Stevenson,RB,NE,2/23/1998,72,227,Oklahoma; Cerritos College,5
Rushawn Baker,RB,NE,4/17/2003,72,225,Elon; Bucknell,0
Shane Watts,RB,NE,,,,,
Terrell Jennings,RB,NE,1/3/2001,72,217,Florida A&M,1
TreVeyon Henderson,RB,NE,10/22/2002,70,202,Ohio State,0
Austin Hooper,TE,NE,10/29/1994,76,254,Stanford,10
CJ Dippre,TE,NE,4/29/2002,77,256,Alabama; Maryland,0
Cole Fotheringham,TE,NE,10/11/1997,76,243,Utah,3
Hunter Henry,TE,NE,12/7/1994,77,249,Arkansas,10
DeMario Douglas,WR,NE,12/8/2000,68,192,Liberty,3
Efton Chism III,WR,NE,10/26/2001,70,198,Eastern Washington,0
Jeremiah Webb,WR,NE,5/17/2001,71,198,South Alabama; South Dakota,0
John Jiles,WR,NE,7/8/2000,75,220,University of West Florida,1
Kayshon Boutte,WR,NE,5/7/2002,71,197,LSU,3
Kyle Williams,WR,NE,11/13/2002,71,190,Washington State,0
Mack Hollins,WR,NE,9/16/1993,76,221,North Carolina,9
Phil Lutz,WR,NE,,,,,
Stefon Diggs,WR,NE,11/29/1993,72,191,Maryland,11
Ja'Lynn Polk,WR,"NE, NO",4/11/2002,73,203,Washington; Texas Tech,2
Leonard Taylor III,DL,"NE, NYJ",5/29/2002,75,305,Miami,2
Brandon Smith,WR,"NE, NYJ",12/10/1998,73,218,Iowa,1
Patrick Johnson,LB,"NE, PHI",1/10/1998,74,248,Tulane,5
Jaheim Bell,TE,"NE, PHI, PIT",6/14/2001,74,241,Florida State; South Carolina,2
Javon Baker,WR,"NE, PHI, SF",2/18/2002,73,202,UCF; Alabama,2
Jabrill Peppers,DB,"NE, PIT",10/4/1995,71,217,Michigan,9
Kyle Dugger,DB,"NE, PIT",3/22/1996,73,216,Lenoir Rhyne,6
Marshall Lang,TE,"NE, SEA",10/15/2001,76,246,Northwestern,0
Isaiah Bolden,DB,"NE, SF",12/16/1999,74,205,Jackson State University,3
Richie Grant,DB,"NE, SF",8/28/1995,72,204,UCF,5
Keion White,DL,"NE, SF",1/20/1999,77,285,Georgia Tech; Old Dominion,3
Kendrick Bourne,WR,"NE, SF",8/4/1995,73,205,Eastern Washington,9
Lorenz Metz,OL,"NE, TB",3/7/1997,81,310,Cincinnati,1
Cam Riley,LB,"NE, TEN",3/29/2002,77,237,Florida State; Auburn,0
Truman Jones,LB,"NE, TEN",5/13/2000,75,255,Harvard,1
Andrew Rupcich,OL,"NE, TEN",4/1/1999,78,318,Culver-Stockton College,2
Thomas Odukoya,TE,"NE, TEN",5/5/1997,78,253,Eastern Michigan,2
Gee Scott Jr.,TE,"NE, WAS",12/28/2000,75,238,Ohio State,0
Alontae Taylor,DB,NO,12/3/1998,73,199,Tennessee,4
Dalys Beanum,DB,NO,10/12/2002,73,200,South Dakota State,0
Elliott Davison,DB,NO,12/19/2001,72,190,Texas-San Antonio,0
Isaac Yiadom,DB,NO,2/20/1996,73,188,Boston College,8
Jayden Price,DB,NO,4/5/2000,71,185,North Dakota State,1
Jonas Sanker,DB,NO,11/23/2001,73,210,Virginia,0
Jordan Howden,DB,NO,5/14/2000,72,210,Minnesota,3
Julian Blackmon,DB,NO,8/24/1998,72,202,Utah,6
Justin Reid,DB,NO,2/15/1997,73,207,Stanford,8
Kool-Aid McKinstry,DB,NO,9/30/2002,71,199,Alabama,2
Michael Davis,DB,NO,1/6/1996,74,195,BYU,9
Quincy Riley,DB,NO,5/26/2001,71,195,Louisville; Middle Tennessee State,0
Rejzohn Wright,DB,NO,9/4/2000,74,193,Oregon State,2
Terrell Burgess,DB,NO,8/18/1997,71,202,Utah,5
Tyrann Mathieu,DB,NO,5/13/1992,69,190,LSU,12
Ugo Amadi,DB,NO,5/16/1997,69,201,Oregon,7
Bryan Bresee,DL,NO,10/6/2001,77,305,Clemson,3
Coziah Izzard,DL,NO,11/6/2001,75,305,Penn State,0
Davon Godchaux,DL,NO,11/11/1994,75,330,LSU,9
Jasheen Davis,DL,NO,,,,,
Jayden Peevy,DL,NO,9/3/1999,77,308,Texas A&M,1
John Ridgeway,DL,NO,5/7/1999,77,321,Arkansas; Illinois State,4
Jonah Williams,DL,NO,8/17/1995,77,275,Weber State,5
Jonathan Bullard,DL,NO,10/22/1993,75,290,Florida,10
Khristian Boyd,DL,NO,2/23/2000,74,320,Northern Iowa,2
Nathan Shepherd,DL,NO,10/9/1993,76,315,Fort Hays; Simon Fraser,8
Omari Thomas,DL,NO,,,,,
Vernon Broughton,DL,NO,7/15/2001,77,311,Texas,0
Cade York,K,NO,1/27/2001,73,206,LSU,3
Charlie Smyth,K,NO,6/26/2001,76,210,,1
Cameron Jordan,LB,NO,7/10/1989,76,287,California,15
Carl Granderson,LB,NO,12/18/1996,77,261,Wyoming,7
Chase Young,LB,NO,4/14/1999,77,265,Ohio State,6
Chris Rumph II,LB,NO,10/19/1998,74,244,Duke,5
Danny Stutsman,LB,NO,3/10/2003,75,233,Oklahoma,0
Demario Davis,LB,NO,1/11/1989,74,248,Arkansas State,14
Fadil Diggs,LB,NO,10/15/2001,77,261,Syracuse; Texas A&M,0
Isaiah Stalbird,LB,NO,7/18/2000,73,215,South Dakota State,1
Jaylan Ford,LB,NO,11/28/2001,74,240,Texas,2
Pete Werner,LB,NO,6/5/1999,75,242,Ohio State,5
Tyreem Powell,LB,NO,,,,,
Zach Wood,LS,NO,1/10/1993,75,255,SMU,9
Asim Richards,OL,NO,10/2/2000,76,307,North Carolina,3
Barry Wesley,OL,NO,7/14/1999,79,310,Colorado State,1
Cesar Ruiz,OL,NO,6/14/1999,76,316,Michigan,6
Dillon Radunz,OL,NO,3/28/1998,78,301,North Dakota State,5
Easton Kilty,OL,NO,5/1/2002,78,307,Kansas State; North Dakota,0
Erik McCoy,OL,NO,8/27/1997,76,303,Texas A&M,7
Jonathan Mendoza,OL,NO,,,,,
Josiah Ezirim,OL,NO,5/21/2001,78,329,Eastern Kentucky,0
Kelvin Banks Jr.,OL,NO,3/10/2004,77,315,Texas,0
Landon Young,OL,NO,8/21/1997,79,321,Kentucky,5
Luke Fortner,OL,NO,5/15/1998,76,307,Kentucky,4
Mike Panasiuk,OL,NO,10/13/1997,75,295,Michigan State,1
Nick Saldiveri,OL,NO,8/14/2000,78,316,Old Dominion,3
Ryan Ramczyk,OL,NO,4/22/1994,78,314,Wisconsin; Wisconsin-Stevens Point; Mid-State Technical College (J.C.); Madison Area Technical College,8
Taliese Fuaga,OL,NO,4/5/2002,78,324,Oregon State,2
Torricelli Simpkins III,OL,NO,6/6/2002,77,312,South Carolina; North Carolina Central,0
Will Clapp,OL,NO,12/10/1995,77,314,LSU,8
Xavier Truss,OL,NO,7/13/2001,79,320,Georgia,0
James Burnip,P,NO,,,,,
Kai Kroeger,P,NO,6/11/2002,76,213,South Carolina,0
Derek Carr,QB,NO,3/28/1991,75,215,Fresno State,11
Hunter Dekkers,QB,NO,7/4/2001,74,212,Iowa Western CC; Iowa State,0
Jake Haener,QB,NO,3/10/1999,73,200,Fresno State; Washington,3
Spencer Rattler,QB,NO,9/28/2000,72,211,South Carolina; Oklahoma,2
Taysom Hill,QB,NO,8/23/1990,74,221,BYU,9
Tyler Shough,QB,NO,9/28/1999,77,219,Louisville; Texas Tech; Oregon,0
Alvin Kamara,RB,NO,7/25/1995,70,215,Tennessee; Hutchinson CC; Alabama,9
Devin Neal,RB,NO,8/12/2003,71,213,Kansas,0
Kendre Miller,RB,NO,6/11/2002,72,220,TCU,3
Marcus Yarns,RB,NO,,,,,
Foster Moreau,TE,NO,5/6/1997,76,250,LSU,7
Jack Stoll,TE,NO,1/28/1998,76,247,Nebraska,5
Juwan Johnson,TE,NO,9/13/1996,76,231,Oregon; Penn State,6
Mason Pline,TE,NO,2/5/2000,79,260,Furman; Ferris State,1
Michael Jacobson,TE,NO,4/4/1997,79,244,Iowa State,1
